latitude,longitude,population_1km,population_3km,population_density,nearest_major_road_km,road_density,competitors_1km,competitors_3km,nearest_competitor_km,landuse_score,environment_risk_score,catchment_population_10m,catchment_population_20m,catchment_population_30m,target_readiness
22.25414,70.818499,12291.0,108933.0,3912.3,0.072,4.4,0.0,1.0,5.0,50.0,100.0,108933.0,389080.0,691972.0,87.64
22.231335,70.850216,1515.0,11842.0,482.2,1.246,0.0,0.0,0.0,5.0,50.0,100.0,11842.0,114038.0,297518.0,72.88
22.335592,70.844759,3462.0,32537.0,1102.0,0.101,2.08,0.0,0.0,5.0,49.2,100.0,32537.0,137320.0,517929.0,87.95
22.327304,70.787121,9854.0,128126.0,3136.6,0.886,2.7,0.0,3.0,5.0,49.2,100.0,128126.0,531580.0,816139.0,73.72
22.301049,70.741579,49372.0,205678.0,15715.6,1.454,3.12,1.0,7.0,5.0,75.8,100.0,205678.0,522817.0,732284.0,67.25
22.323014,70.786387,15340.0,168697.0,4882.9,0.457,2.43,0.0,4.0,5.0,49.2,100.0,168697.0,582524.0,824028.0,76.92
22.243244,70.914266,578.0,3905.0,184.0,1.348,0.46,0.0,0.0,5.0,44.2,100.0,3905.0,17086.0,62752.0,69.88
22.275722,70.737702,9824.0,157979.0,3127.1,0.46,0.69,0.0,4.0,5.0,50.0,20.0,157979.0,429788.0,706728.0,58.36
22.379699,70.857462,800.0,7320.0,254.6,4.903,0.0,0.0,0.0,5.0,44.2,100.0,7320.0,37074.0,104277.0,64.4
22.354045,70.733188,1528.0,14781.0,486.4,0.916,0.84,0.0,0.0,5.0,50.0,100.0,14781.0,108213.0,449294.0,74.44
22.364556,70.773568,2453.0,20338.0,780.8,2.511,0.79,0.0,0.0,5.0,50.0,100.0,20338.0,110543.0,502075.0,69.14
22.283385,70.844011,4688.0,68878.0,1492.2,0.65,0.9,0.0,0.0,5.0,50.0,60.0,68878.0,355068.0,658027.0,71.96
22.359802,70.712582,912.0,7650.0,290.3,0.204,1.98,0.0,0.0,5.0,50.0,100.0,7650.0,39052.0,252786.0,83.63
22.254176,70.778369,5054.0,92369.0,1608.7,1.049,3.48,0.0,1.0,5.0,49.2,100.0,92369.0,540042.0,766499.0,77.85
22.364236,70.716363,910.0,7589.0,289.7,0.832,0.0,0.0,0.0,5.0,50.0,100.0,7589.0,35283.0,237599.0,72.36
22.276407,70.832224,16625.0,121046.0,5291.9,0.083,6.41,0.0,1.0,5.0,73.3,100.0,121046.0,414518.0,703806.0,92.72
22.356652,70.868759,1506.0,14798.0,479.4,2.576,1.08,0.0,0.0,5.0,44.2,100.0,14798.0,58101.0,142939.0,73.05
22.373216,70.84265,1644.0,12363.0,523.3,3.996,0.0,0.0,0.0,5.0,50.0,100.0,12363.0,55379.0,161386.0,67.41
22.28405,70.761576,43614.0,287657.0,13882.8,0.503,5.6,2.0,5.0,5.0,50.0,60.0,287657.0,646653.0,797659.0,67.28
22.294714,70.747521,49441.0,246697.0,15737.6,1.588,2.85,2.0,7.0,5.0,49.2,100.0,246697.0,578006.0,760892.0,65.04
22.32571,70.87435,2129.0,19630.0,677.7,0.386,3.43,0.0,0.0,5.0,44.2,100.0,19630.0,82305.0,309125.0,82.57
22.359581,70.752931,2045.0,17982.0,650.9,2.265,0.0,0.0,0.0,5.0,50.0,100.0,17982.0,118165.0,512732.0,69.74
22.264642,70.746068,3325.0,117751.0,1058.4,0.349,0.89,0.0,2.0,5.0,49.2,100.0,117751.0,451424.0,723681.0,78.7
22.38,70.721719,488.0,4720.0,155.3,2.548,0.0,0.0,0.0,5.0,50.0,100.0,4720.0,22080.0,117505.0,67.1
22.273853,70.705861,970.0,12482.0,308.8,1.401,0.0,0.0,1.0,5.0,0.0,20.0,12482.0,194243.0,436321.0,7.16
22.275461,70.76687,47403.0,225375.0,15088.8,0.551,4.21,1.0,5.0,5.0,75.8,60.0,225375.0,658551.0,795114.0,70.77
22.37881,70.711798,491.0,3604.0,156.3,1.877,0.99,0.0,0.0,5.0,50.0,100.0,3604.0,17885.0,89419.0,70.73
22.323516,70.704311,1013.0,12145.0,322.4,2.071,0.0,0.0,0.0,5.0,50.0,100.0,12145.0,150334.0,407946.0,69.88
22.36528,70.794323,2606.0,22464.0,829.5,0.594,0.08,0.0,0.0,5.0,50.0,100.0,22464.0,108516.0,453158.0,75.41
22.366373,70.72269,1005.0,8465.0,319.9,1.424,0.0,0.0,0.0,5.0,50.0,100.0,8465.0,37680.0,254618.0,69.87
22.278871,70.759401,33259.0,248549.0,10586.7,0.241,6.67,0.0,5.0,5.0,0.0,20.0,248549.0,638229.0,787217.0,9.69
22.349897,70.862632,1874.0,18714.0,596.5,1.695,1.64,0.0,0.0,5.0,44.2,100.0,18714.0,74398.0,220317.0,73.06
22.368829,70.806394,2359.0,18991.0,750.9,0.688,0.0,0.0,0.0,5.0,50.0,100.0,18991.0,86014.0,365947.0,75.23
22.309684,70.7,752.0,11945.0,239.4,2.848,0.01,0.0,0.0,5.0,50.0,100.0,11945.0,161644.0,410875.0,67.92
22.261186,70.85483,2865.0,43278.0,912.0,1.24,0.0,0.0,0.0,5.0,50.0,100.0,43278.0,187234.0,481061.0,72.85
22.338624,70.838409,3918.0,34550.0,1247.1,0.134,2.06,0.0,0.0,5.0,49.2,100.0,34550.0,156398.0,532852.0,81.73
22.371721,70.719807,886.0,6384.0,282.0,1.702,0.0,0.0,0.0,5.0,50.0,100.0,6384.0,28211.0,183775.0,72.07
22.231534,70.871629,1021.0,8510.0,325.0,0.043,1.05,0.0,0.0,5.0,44.2,100.0,8510.0,55008.0,181632.0,80.95
22.33329,70.829234,4681.0,43531.0,1490.0,0.557,1.35,0.0,0.0,5.0,49.2,100.0,43531.0,282341.0,640530.0,73.88
22.319751,70.808869,8031.0,132415.0,2556.3,1.288,1.1,0.0,1.0,5.0,49.2,100.0,132415.0,495873.0,826138.0,76.7
22.344425,70.809252,4315.0,41505.0,1373.5,0.137,4.12,0.0,0.0,5.0,49.2,100.0,41505.0,281192.0,669513.0,86.08
22.334214,70.893071,1339.0,11654.0,426.2,0.193,2.44,0.0,0.0,5.0,44.2,100.0,11654.0,48107.0,122273.0,83.98
22.315773,70.704965,1094.0,17417.0,348.2,2.36,0.97,0.0,0.0,5.0,50.0,100.0,17417.0,176920.0,445731.0,70.15
22.29275,70.84469,4372.0,54713.0,1391.7,0.458,0.42,0.0,0.0,5.0,50.0,20.0,54713.0,368443.0,663232.0,65.78
22.317398,70.794851,14315.0,212702.0,4556.6,0.555,0.96,0.0,3.0,5.0,49.2,100.0,212702.0,596506.0,834666.0,75.59
22.333522,70.763831,4376.0,69343.0,1392.9,0.056,4.28,1.0,3.0,5.0,50.0,100.0,69343.0,478599.0,732237.0,80.47
22.371308,70.854192,1670.0,11483.0,531.6,3.938,0.0,0.0,0.0,5.0,50.0,100.0,11483.0,50267.0,134771.0,67.67
22.273579,70.706589,1100.0,13498.0,350.1,1.325,0.0,0.0,1.0,5.0,0.0,20.0,13498.0,199608.0,444891.0,7.51
22.356122,70.800059,3573.0,30844.0,1137.3,0.318,1.73,0.0,0.0,5.0,49.2,100.0,30844.0,172205.0,553660.0,82.05
22.347106,70.80597,4441.0,39177.0,1413.6,0.178,2.51,0.0,0.0,5.0,49.2,100.0,39177.0,257880.0,651130.0,83.14
22.332638,70.734565,2406.0,37518.0,765.9,0.267,0.87,0.0,1.0,5.0,50.0,100.0,37518.0,304412.0,629256.0,83.77
22.330114,70.793804,7251.0,103448.0,2308.1,1.128,4.21,0.0,3.0,5.0,49.2,100.0,103448.0,465976.0,814010.0,73.7
22.289915,70.84678,4491.0,54667.0,1429.5,0.633,0.0,0.0,0.0,5.0,0.0,20.0,54667.0,344029.0,644723.0,8.39
22.303103,70.747349,35068.0,231385.0,11162.5,2.042,0.78,0.0,7.0,5.0,49.2,100.0,231385.0,572168.0,754857.0,66.65
22.247508,70.721931,1183.0,10714.0,376.6,1.849,0.0,0.0,0.0,5.0,44.2,100.0,10714.0,174549.0,453919.0,65.52
22.268147,70.726897,2130.0,55908.0,678.0,0.004,3.04,0.0,2.0,5.0,50.0,60.0,55908.0,323226.0,644071.0,76.15
22.371364,70.873288,1062.0,8428.0,338.0,4.273,1.12,0.0,0.0,5.0,44.2,100.0,8428.0,36980.0,98286.0,63.84
